DAFS,Hour,Hydro,cas.count,minutes.observed,fish.prox,hydro.type,hour.of.period
1,22,H5,122,58,2,LARS,133
1,23,H5,85,58,2,LARS,134
2,0,H5,105,58,2,LARS,135
2,1,H5,93,57,2,LARS,136
2,2,H5,95,58,2,LARS,137
2,3,H5,93,58,2,LARS,138
2,4,H5,53,58,2,LARS,139
2,5,H5,42,58,2,LARS,140
2,6,H5,52,58,2,LARS,141
2,7,H5,40,58,2,LARS,142
2,8,H5,24,58,2,LARS,143
2,9,H5,40,54,2,LARS,144
2,10,H5,32,58,2,LARS,145
2,11,H5,26,58,2,LARS,146
2,12,H5,28,58,2,LARS,147
2,13,H5,28,54,2,LARS,148
2,14,H5,53,51,2,LARS,149
2,15,H5,64,58,2,LARS,150
2,16,H5,65,58,2,LARS,151
2,17,H5,86,58,2,LARS,152
2,18,H5,95,57,2,LARS,153
2,19,H5,289,56,2,LARS,154
2,20,H5,198,57,2,LARS,155
2,21,H5,85,58,2,LARS,156
2,22,H5,51,57,2,LARS,157
2,23,H5,40,58,2,LARS,158
-4,10,H6,1,6,0,ST,1
-4,11,H6,1,49,0,ST,2
-4,12,H6,2,56,0,ST,3
-4,13,H6,0,30,0,ST,4
-4,14,H6,0,30,0,ST,5
-4,15,H6,2,60,0,ST,6
-4,16,H6,5,60,0,ST,7
-4,17,H6,3,60,0,ST,8
-4,18,H6,1,60,0,ST,9
-4,19,H6,0,60,0,ST,10
-4,20,H6,3,60,0,ST,11
-4,21,H6,0,60,0,ST,12
-4,22,H6,0,60,0,ST,13
-4,23,H6,0,60,0,ST,14
-3,0,H6,0,60,0,ST,15
-3,1,H6,0,60,0,ST,16
-3,2,H6,0,60,0,ST,17
-3,3,H6,1,60,0,ST,18
-3,4,H6,3,60,0,ST,19
-3,5,H6,5,60,0,ST,20
-3,6,H6,2,55,0,ST,21
-3,7,H6,20,60,0,ST,22
-3,8,H6,22,60,0,ST,23
-3,9,H6,12,60,0,ST,24
-3,10,H6,0,50,0,ST,25
-3,11,H6,9,60,0,ST,26
-3,12,H6,5,60,0,ST,27
-3,13,H6,1,60,0,ST,28
-3,14,H6,0,60,0,ST,29
-3,15,H6,4,60,0,ST,30
-3,16,H6,1,60,0,ST,31
-3,17,H6,3,60,0,ST,32
-3,18,H6,0,60,0,ST,33
-3,19,H6,2,60,0,ST,34
-3,20,H6,0,60,0,ST,35
-3,21,H6,0,60,0,ST,36
-3,22,H6,1,60,0,ST,37
-3,23,H6,2,60,0,ST,38
-2,0,H6,0,60,0,ST,39
-2,1,H6,2,60,0,ST,40
-2,2,H6,2,60,0,ST,41
-2,3,H6,0,60,0,ST,42
-2,4,H6,1,60,0,ST,43
-2,5,H6,0,60,0,ST,44
-2,6,H6,0,60,0,ST,45
-2,7,H6,1,60,0,ST,46
-2,8,H6,1,60,0,ST,47
-2,9,H6,7,60,0,ST,48
-2,10,H6,3,60,0,ST,49
-2,11,H6,3,60,0,ST,50
-2,12,H6,0,60,0,ST,51
-2,13,H6,0,60,0,ST,52
-2,14,H6,3,60,0,ST,53
-2,15,H6,2,61,0,ST,54
-2,16,H6,1,60,0,ST,55
-2,17,H6,7,45,0,ST,56
-2,18,H6,0,60,0,ST,57
-2,19,H6,2,60,0,ST,58
-2,20,H6,0,60,0,ST,59
-2,21,H6,2,60,0,ST,60
-2,22,H6,0,60,0,ST,61
-2,23,H6,0,60,0,ST,62
-1,0,H6,0,60,0,ST,63
-1,1,H6,0,60,0,ST,64
-1,2,H6,0,60,0,ST,65
-1,3,H6,0,60,0,ST,66
-1,4,H6,0,60,0,ST,67
-1,5,H6,2,60,0,ST,68
-1,6,H6,5,60,0,ST,69
-1,7,H6,32,60,0,ST,70
-1,8,H6,17,60,0,ST,71
-1,9,H6,16,50,0,ST,72
-1,10,H6,4,60,0,ST,73
-1,11,H6,9,60,0,ST,74
-1,12,H6,2,60,0,ST,75
-1,13,H6,2,60,0,ST,76
-1,14,H6,5,60,0,ST,77
-1,15,H6,18,60,0,ST,78
-1,16,H6,13,60,0,ST,79
-1,17,H6,40,58,0,ST,80
-1,18,H6,63,42,0,ST,81
-1,19,H6,120,60,0,ST,82
-1,20,H6,55,60,0,ST,83
-1,21,H6,6,60,0,ST,84
-1,22,H6,16,60,0,ST,85
-1,23,H6,15,60,0,ST,86
0,0,H6,23,60,0,ST,87
0,1,H6,19,60,0,ST,88
0,2,H6,31,60,0,ST,89
0,3,H6,27,60,0,ST,90
0,4,H6,51,60,0,ST,91
